Company Id,Time During,Base Users,Time Cost(mins)
zdeltaperf07,2018-11-19 05:34:14.498~2018-11-19 05:41:54.378,0-300k,7.67
zdeltaperf08,2018-11-19 05:55:50.733~2018-11-19 06:03:35.397,0-300k,7.75
zdeltaperf09,2018-11-19 06:13:43.389~2018-11-19 06:21:23.607,0-300k,7.67
zdeltaperf11,2018-11-19 06:19:00.211~2018-11-19 06:32:46.208,0-400k,13.77
zdeltaperf12,2018-11-19 06:36:21.244~2018-11-19 06:50:29.417,0-400k,14.13
zdeltaperf13,2018-11-19 07:06:32.814~2018-11-19 07:17:09.638,0-400k,10.62
zdeltaperf04,2018-11-19 07:13:52.316~2018-11-19 07:26:40.432,0-400k,12.8
zdeltaperf02,2018-11-19 07:12:43.576~2018-11-19 07:32:09.031,0-500k,19.43
zdeltaperf01,2018-11-19 07:37:14.004~2018-11-19 07:56:13.394,0-500k,18.98
zdeltaperf05,2018-11-16 05:43:15.701~2018-11-16 06:04:59.378,0-500k,21.73
zdeltaperf03,2018-11-19 11:27:41.891~2018-11-19 12:06:09.853,0-800k,38.47
zdeltaperf14,2018-11-19 13:21:33.714~2018-11-19 13:57:18.899,0-800k,35.75
zdeltaperf16,2018-11-19 11:35:04.7~2018-11-19 12:31:28.953,0-1000k,56.4
zdeltaperf18,2018-11-19 13:21:33.834~2018-11-19 14:11:36.261,0-1000k,50.05
